Template,In layout,Enabled,Loc. X,Loc. Y,Loc. Z,X focus,Y focus,Cant vect.,Cant vect.,Cant vect.,Aim pt. X,Aim pt. Y,Aim pt. Z
,,,[m],[m],[m],[m],[m],<i>,<j>,<k>,[m],[m],[m]
0,1,1,35.98,683.31,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-220.97,536.72,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-79.89,651.36,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-35.98,683.31,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-152.34,611.64,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,48.01,654.48,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-188.59,574.23,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,250.97,264.73,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,194.52,546.86,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,122.31,618.34,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,229.06,457.97,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-48.01,654.48,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-251.14,446.24,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,16.02,656.04,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,271.62,267.41,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-16.02,656.04,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,160.35,582.75,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-273.51,288.51,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-180.87,71.38,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-227.26,483.51,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-122.31,618.34,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-224.34,509.22,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,240.31,184.23,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,91.99,623.57,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,203.39,494.02,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-271.75,409.55,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,199.22,519.56,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-275.1,310.99,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-273.94,383.08,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-275.38,358.31,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-194.52,546.86,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-275.45,333.91,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-160.35,582.75,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-91.99,623.57,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,131.72,589.88,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-232,127.12,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,167.6,555.71,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,61.45,627.32,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-229.06,457.97,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,246.88,401.05,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-203.19,80.19,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-238.63,164.35,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-61.45,627.32,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,30.76,629.57,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-30.76,629.57,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,0,630.32,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,241.3,205.31,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-131.72,589.88,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-203.39,494.02,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,252.98,306.67,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-199.22,519.56,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,102.77,595.61,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-250.97,264.73,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-167.6,555.71,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,179.04,503.36,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,173.63,528.67,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,140.28,563.22,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-271.62,267.41,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,253.01,329.21,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,250.03,376.44,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,251.78,352.1,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-102.77,595.61,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,73.58,599.91,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-240.31,184.23,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-246.88,401.05,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,218.66,417.12,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,240.74,226.94,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,223.49,392.78,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
